"동별(1)","항목",2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
"동별(1)","항목",계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"동대문구","여자",8578,101,83,49,278,3698,1747,731,377,269,250,341,360,190,63,18,7,12,3,1,-,-,8400,81,95,42,270,3501,1939,703,407,252,214,287,349,144,74,18,9,11,3,1,-,-,10256,90,83,41,391,4582,2530,736,443,274,234,280,287,161,77,21,11,9,5,1,-,-,11407,103,73,47,502,4842,3152,835,486,302,218,260,282,171,75,32,10,7,9,1,0,0
"중랑구","계",4992,192,157,106,104,487,656,745,508,383,375,441,491,236,66,34,5,2,4,-,-,-,4595,182,146,101,73,438,645,715,507,348,316,384,434,184,76,34,6,1,3,2,-,-,4720,174,151,109,94,475,643,693,556,375,313,408,387,214,76,36,9,2,2,3,-,-,5143,198,161,121,160,571,773,696,574,389,325,385,397,230,104,40,11,3,2,3,0,0
"중랑구","남자",2031,99,90,61,48,175,257,280,203,149,144,183,200,89,28,19,2,2,2,-,-,-,1820,94,85,58,38,154,240,264,215,129,112,149,162,69,30,14,3,1,1,2,-,-,1844,86,90,61,50,160,239,253,232,138,112,146,143,81,27,16,6,1,1,2,-,-,2030,100,91,60,87,209,287,260,240,135,125,143,139,86,38,19,6,2,1,2,0,0
"중랑구","여자",2961,93,67,45,56,312,399,465,305,234,231,258,291,147,38,15,3,-,2,-,-,-,2775,88,61,43,35,284,405,451,292,219,204,235,272,115,46,20,3,-,2,-,-,-,2876,88,61,48,44,315,404,440,324,237,201,262,244,133,49,20,3,1,1,1,-,-,3113,98,70,61,73,362,486,436,334,254,200,242,258,144,66,21,5,1,1,1,0,0
"성북구","계",10152,177,155,95,461,3591,1997,1060,676,453,388,398,338,195,88,36,22,12,8,-,1,1,9089,144,135,94,384,3074,1888,955,645,439,347,348,316,152,88,39,19,11,9,-,1,1,10769,156,140,99,615,3806,2311,1081,696,491,358,359,288,186,97,43,19,13,7,2,1,1,12418,133,143,121,736,4581,2754,1168,755,563,394,362,307,207,100,45,23,12,7,5,0,2
"성북구","남자",4004,97,70,52,148,1245,765,457,288,205,167,188,147,100,38,19,10,4,4,-,-,-,3477,72,71,49,131,963,752,395,279,174,148,155,131,77,42,22,8,5,3,-,-,-,3995,80,68,52,196,1136,870,471,320,193,152,163,123,84,43,26,9,6,2,1,-,-,4497,70,76,61,196,1350,1016,489,352,235,169,158,133,99,43,26,13,8,1,2,0,0
"성북구","여자",6148,80,85,43,313,2346,1232,603,388,248,221,210,191,95,50,17,12,8,4,-,1,1,5612,72,64,45,253,2111,1136,560,366,265,199,193,185,75,46,17,11,6,6,-,1,1,6774,76,72,47,419,2670,1441,610,376,298,206,196,165,102,54,17,10,7,5,1,1,1,7921,63,67,60,540,3231,1738,679,403,328,225,204,174,108,57,19,10,4,6,3,0,2
"강북구","계",3554,82,64,34,76,533,519,473,358,265,246,289,321,182,55,32,11,5,3,3,1,2,3370,78,74,34,50,563,491,443,341,271,220,228,300,162,58,31,12,6,2,3,1,2,3746,82,67,39,106,766,572,461,365,278,204,229,269,168,70,39,17,4,4,3,1,2,4649,90,69,52,194,1108,898,505,381,308,205,232,272,184,77,41,19,5,3,3,0,3
"강북구","남자",1341,41,35,14,30,193,193,154,130,94,99,121,121,66,19,19,4,2,2,3,-,1,1268,39,37,15,18,209,169,155,120,94,97,91,118,53,21,20,5,2,2,2,-,1,1363,49,27,18,42,249,180,161,127,100,88,94,103,57,30,22,8,3,2,2,-,1,1613,50,31,22,64,317,280,181,128,108,78,95,114,69,33,23,11,3,2,3,0,1
"강북구","여자",2213,41,29,20,46,340,326,319,228,171,147,168,200,116,36,13,7,3,1,-,1,1,2102,39,37,19,32,354,322,288,221,177,123,137,182,109,37,11,7,4,-,1,1,1,2383,33,40,21,64,517,392,300,238,178,116,135,166,111,40,17,9,1,2,1,1,1,3036,40,38,30,130,791,618,324,253,200,127,137,158,115,44,18,8,2,1,0,0,2
