동별,연령별,시점,남자,여자
부암동,75~79세,2022. 3/4,0,0
부암동,75~79세,2023. 3/4,0,1
부암동,80~84세,2020. 3/4,0,0
부암동,80~84세,2022. 3/4,0,0
부암동,80~84세,2023. 3/4,0,0
부암동,85~89세,2020. 3/4,0,0
부암동,85~89세,2022. 3/4,0,0
부암동,85~89세,2023. 3/4,0,0
부암동,90~94세,2020. 3/4,1,0
부암동,90~94세,2022. 3/4,0,0
부암동,90~94세,2023. 3/4,0,0
부암동,95~99세,2020. 3/4,0,0
부암동,95~99세,2022. 3/4,0,0
부암동,95~99세,2023. 3/4,0,0
부암동,100세 이상,2020. 3/4,0,0
부암동,100세 이상,2022. 3/4,0,0
부암동,100세 이상,2023. 3/4,0,0
평창동,0~4세,2020. 3/4,0,0
평창동,0~4세,2022. 3/4,2,1
평창동,0~4세,2023. 3/4,2,0
평창동,5~9세,2020. 3/4,4,0
평창동,5~9세,2022. 3/4,1,1
평창동,5~9세,2023. 3/4,1,2
평창동,10~14세,2020. 3/4,0,2
평창동,10~14세,2022. 3/4,2,1
평창동,10~14세,2023. 3/4,3,1
평창동,15~19세,2020. 3/4,2,2
평창동,15~19세,2022. 3/4,2,4
평창동,15~19세,2023. 3/4,2,3
평창동,20~24세,2020. 3/4,2,4
평창동,20~24세,2022. 3/4,2,3
평창동,20~24세,2023. 3/4,2,3
평창동,25~29세,2020. 3/4,4,9
평창동,25~29세,2022. 3/4,1,6
평창동,25~29세,2023. 3/4,2,5
평창동,30~34세,2020. 3/4,7,12
평창동,30~34세,2022. 3/4,8,8
평창동,30~34세,2023. 3/4,6,12
평창동,35~39세,2020. 3/4,13,13
평창동,35~39세,2022. 3/4,9,10
평창동,35~39세,2023. 3/4,11,9
평창동,40~44세,2020. 3/4,9,15
평창동,40~44세,2022. 3/4,15,9
평창동,40~44세,2023. 3/4,18,9
평창동,45~49세,2020. 3/4,6,9
평창동,45~49세,2022. 3/4,8,11
평창동,45~49세,2023. 3/4,9,10
평창동,50~54세,2020. 3/4,7,10
평창동,50~54세,2022. 3/4,14,13
평창동,50~54세,2023. 3/4,14,14
평창동,55~59세,2020. 3/4,10,12
평창동,55~59세,2022. 3/4,7,8
평창동,55~59세,2023. 3/4,8,4
평창동,60~64세,2020. 3/4,11,9
평창동,60~64세,2022. 3/4,8,10
평창동,60~64세,2023. 3/4,9,9
평창동,65~69세,2020. 3/4,5,3
평창동,65~69세,2022. 3/4,8,3
평창동,65~69세,2023. 3/4,6,6
평창동,70~74세,2020. 3/4,1,1
평창동,70~74세,2022. 3/4,4,1
평창동,70~74세,2023. 3/4,5,1
평창동,75~79세,2020. 3/4,1,1
평창동,75~79세,2022. 3/4,1,1
평창동,75~79세,2023. 3/4,1,2
평창동,80~84세,2020. 3/4,2,0
평창동,80~84세,2022. 3/4,1,0
평창동,80~84세,2023. 3/4,2,0
평창동,85~89세,2020. 3/4,0,1
평창동,85~89세,2022. 3/4,1,1
평창동,85~89세,2023. 3/4,1,1
평창동,90~94세,2020. 3/4,0,0
평창동,90~94세,2022. 3/4,0,0
평창동,90~94세,2023. 3/4,0,0
평창동,95~99세,2020. 3/4,0,0
평창동,95~99세,2022. 3/4,0,0
평창동,95~99세,2023. 3/4,0,0
평창동,100세 이상,2020. 3/4,0,0
평창동,100세 이상,2022. 3/4,0,0
평창동,100세 이상,2023. 3/4,0,0
무악동,0~4세,2020. 3/4,2,0
무악동,0~4세,2022. 3/4,0,0
무악동,0~4세,2023. 3/4,1,1
무악동,5~9세,2020. 3/4,2,1
무악동,5~9세,2022. 3/4,0,0
무악동,5~9세,2023. 3/4,0,0
무악동,10~14세,2020. 3/4,0,1
무악동,10~14세,2022. 3/4,1,1
무악동,10~14세,2023. 3/4,0,0
무악동,15~19세,2020. 3/4,0,0
무악동,15~19세,2022. 3/4,0,0
무악동,15~19세,2023. 3/4,0,0
무악동,20~24세,2020. 3/4,1,1
무악동,20~24세,2022. 3/4,0,1
무악동,20~24세,2023. 3/4,0,0
무악동,25~29세,2020. 3/4,1,2
무악동,25~29세,2022. 3/4,1,0
무악동,25~29세,2023. 3/4,1,1
무악동,30~34세,2020. 3/4,2,5
무악동,30~34세,2022. 3/4,2,2
무악동,30~34세,2023. 3/4,2,2
무악동,35~39세,2020. 3/4,2,1
무악동,35~39세,2022. 3/4,0,4
무악동,35~39세,2023. 3/4,2,5
무악동,40~44세,2020. 3/4,1,1
무악동,40~44세,2022. 3/4,2,2
무악동,40~44세,2023. 3/4,1,1
무악동,45~49세,2020. 3/4,4,8
무악동,45~49세,2022. 3/4,3,0
무악동,45~49세,2023. 3/4,3,0
무악동,50~54세,2020. 3/4,3,1
무악동,50~54세,2022. 3/4,2,3
무악동,50~54세,2023. 3/4,2,3
무악동,55~59세,2020. 3/4,2,3
무악동,55~59세,2022. 3/4,1,2
무악동,55~59세,2023. 3/4,0,1
무악동,60~64세,2020. 3/4,0,1
무악동,60~64세,2022. 3/4,0,1
무악동,60~64세,2023. 3/4,1,1
무악동,65~69세,2020. 3/4,0,0
무악동,65~69세,2022. 3/4,0,0
무악동,65~69세,2023. 3/4,0,0
무악동,70~74세,2020. 3/4,0,0
무악동,70~74세,2022. 3/4,0,0
무악동,70~74세,2023. 3/4,0,0
무악동,75~79세,2020. 3/4,0,0
무악동,75~79세,2022. 3/4,0,0
무악동,75~79세,2023. 3/4,0,0
무악동,80~84세,2020. 3/4,0,0
무악동,80~84세,2022. 3/4,0,0
무악동,80~84세,2023. 3/4,0,0
무악동,85~89세,2020. 3/4,0,0
무악동,85~89세,2022. 3/4,0,0
무악동,85~89세,2023. 3/4,0,0
무악동,90~94세,2020. 3/4,0,0
무악동,90~94세,2022. 3/4,0,0
무악동,90~94세,2023. 3/4,0,0
무악동,95~99세,2020. 3/4,0,0
무악동,95~99세,2022. 3/4,0,0
무악동,95~99세,2023. 3/4,0,0
무악동,100세 이상,2020. 3/4,0,0
무악동,100세 이상,2022. 3/4,0,0
무악동,100세 이상,2023. 3/4,0,0
교남동,0~4세,2020. 3/4,1,3
교남동,0~4세,2022. 3/4,1,1
교남동,0~4세,2023. 3/4,2,1
교남동,5~9세,2020. 3/4,3,1
교남동,5~9세,2022. 3/4,4,5
교남동,5~9세,2023. 3/4,3,7
교남동,10~14세,2020. 3/4,4,4
교남동,10~14세,2022. 3/4,8,2
교남동,10~14세,2023. 3/4,7,1
교남동,15~19세,2020. 3/4,3,1
교남동,15~19세,2022. 3/4,4,4
교남동,15~19세,2023. 3/4,5,2
교남동,20~24세,2020. 3/4,3,4
교남동,20~24세,2022. 3/4,2,3
교남동,20~24세,2023. 3/4,2,3
교남동,25~29세,2020. 3/4,3,6
교남동,25~29세,2022. 3/4,3,5
